                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.43595,                0.29143,                0.81143,                0.92984,              0.0033314,              0.0033314,              0.0033314
                      1,                0.37411,                0.37857,                0.88143,                0.89371,              0.0066318,              0.0066318,              0.0066318
                      2,                0.33883,                   0.42,                0.90714,                 0.8805,              0.0098991,              0.0098991,              0.0098991
                      3,                0.31871,                0.49429,                0.92143,                0.86022,              0.0098515,              0.0098515,              0.0098515
                      4,                0.29876,                0.48714,                0.92571,                0.85639,              0.0098515,              0.0098515,              0.0098515
                      5,                0.28824,                0.50429,                   0.94,                0.84972,               0.009802,               0.009802,               0.009802
                      6,                0.28236,                0.51143,                0.94286,                0.84719,              0.0097525,              0.0097525,              0.0097525
                      7,                0.27765,                0.52714,                   0.93,                0.83668,               0.009703,               0.009703,               0.009703
                      8,                0.27162,                0.52143,                0.92857,                0.84568,              0.0096535,              0.0096535,              0.0096535
                      9,                0.26726,                0.52143,                0.94714,                0.84257,               0.009604,               0.009604,               0.009604
                     10,                0.26553,                0.51714,                0.95429,                0.83479,              0.0095545,              0.0095545,              0.0095545
                     11,                0.26297,                0.54143,                0.93286,                 0.8389,               0.009505,               0.009505,               0.009505
                     12,                0.26007,                0.55714,                0.94857,                0.83428,              0.0094555,              0.0094555,              0.0094555
                     13,                0.25881,                0.54857,                0.95143,                0.83273,               0.009406,               0.009406,               0.009406
                     14,                0.25602,                0.53714,                0.95286,                0.83128,              0.0093565,              0.0093565,              0.0093565
                     15,                0.25425,                0.56286,                   0.95,                0.82459,               0.009307,               0.009307,               0.009307
                     16,                 0.2518,                0.57429,                0.95714,                0.82239,              0.0092575,              0.0092575,              0.0092575
                     17,                0.25254,                0.57714,                0.95286,                0.82525,               0.009208,               0.009208,               0.009208
                     18,                0.24983,                0.57714,                0.95857,                0.81723,              0.0091585,              0.0091585,              0.0091585
                     19,                0.24874,                0.54857,                0.95286,                0.82075,               0.009109,               0.009109,               0.009109
                     20,                0.24675,                0.56714,                   0.95,                0.81946,              0.0090595,              0.0090595,              0.0090595
                     21,                0.24663,                0.57857,                0.94857,                0.81778,                0.00901,                0.00901,                0.00901
                     22,                0.24511,                0.59429,                0.95857,                0.81241,              0.0089605,              0.0089605,              0.0089605
                     23,                0.24501,                   0.57,                   0.97,                0.81224,               0.008911,               0.008911,               0.008911
                     24,                0.24391,                0.58429,                0.96571,                0.81042,              0.0088615,              0.0088615,              0.0088615
                     25,                  0.242,                   0.59,                0.96714,                0.80992,               0.008812,               0.008812,               0.008812
                     26,                0.24235,                0.58571,                0.96286,                0.80862,              0.0087625,              0.0087625,              0.0087625
                     27,                0.24063,                0.59714,                0.96429,                0.80723,               0.008713,               0.008713,               0.008713
                     28,                0.23937,                0.60143,                0.96571,                0.80678,              0.0086635,              0.0086635,              0.0086635
                     29,                0.23938,                0.59286,                0.96571,                0.80583,               0.008614,               0.008614,               0.008614
                     30,                0.23784,                0.59714,                0.96286,                0.80471,              0.0085645,              0.0085645,              0.0085645
                     31,                 0.2368,                0.59714,                0.96571,                0.80391,               0.008515,               0.008515,               0.008515
                     32,                0.23759,                    0.6,                0.96429,                0.80347,              0.0084655,              0.0084655,              0.0084655
                     33,                0.23489,                    0.6,                0.96857,                0.80316,               0.008416,               0.008416,               0.008416
                     34,                0.23591,                0.59857,                0.96714,                0.80206,              0.0083665,              0.0083665,              0.0083665
                     35,                 0.2327,                0.60143,                0.96857,                0.80142,               0.008317,               0.008317,               0.008317
                     36,                0.23302,                0.59286,                0.96857,                0.80078,              0.0082675,              0.0082675,              0.0082675
                     37,                0.23167,                0.59857,                0.96714,                0.80018,               0.008218,               0.008218,               0.008218
                     38,                0.23095,                0.59571,                0.96714,                0.79951,              0.0081685,              0.0081685,              0.0081685
                     39,                 0.2313,                0.60143,                0.96714,                0.79895,               0.008119,               0.008119,               0.008119
                     40,                0.22864,                0.60429,                0.96714,                0.79839,              0.0080695,              0.0080695,              0.0080695
                     41,                0.22982,                0.60714,                0.96714,                0.79816,                0.00802,                0.00802,                0.00802
                     42,                0.22805,                0.61143,                0.96714,                0.79794,              0.0079705,              0.0079705,              0.0079705
                     43,                0.22809,                0.61143,                0.96714,                0.79778,               0.007921,               0.007921,               0.007921
                     44,                0.22591,                   0.61,                0.96714,                0.79742,              0.0078715,              0.0078715,              0.0078715
                     45,                0.22656,                0.61143,                0.96714,                0.79705,               0.007822,               0.007822,               0.007822
                     46,                  0.225,                   0.62,                0.96714,                0.79668,              0.0077725,              0.0077725,              0.0077725
                     47,                0.22423,                   0.62,                0.96714,                0.79643,               0.007723,               0.007723,               0.007723
                     48,                 0.2241,                0.62143,                0.96714,                0.79635,              0.0076735,              0.0076735,              0.0076735
                     49,                0.22278,                0.61714,                0.96714,                0.79632,               0.007624,               0.007624,               0.007624
                     50,                0.22237,                0.61857,                0.96714,                0.79634,              0.0075745,              0.0075745,              0.0075745
                     51,                 0.2213,                0.61571,                0.96857,                0.79621,               0.007525,               0.007525,               0.007525
                     52,                0.22025,                   0.62,                0.96857,                0.79608,              0.0074755,              0.0074755,              0.0074755
                     53,                0.22047,                0.61857,                0.96571,                0.79593,               0.007426,               0.007426,               0.007426
                     54,                0.21834,                   0.62,                0.96857,                0.79592,              0.0073765,              0.0073765,              0.0073765
                     55,                0.21873,                   0.62,                0.96429,                  0.796,               0.007327,               0.007327,               0.007327
                     56,                0.21679,                   0.62,                0.96429,                  0.796,              0.0072775,              0.0072775,              0.0072775
                     57,                0.21713,                0.62143,                0.96571,                0.79603,               0.007228,               0.007228,               0.007228
                     58,                0.21541,                   0.62,                0.96714,                0.79586,              0.0071785,              0.0071785,              0.0071785
                     59,                0.21641,                0.62286,                0.96571,                0.79577,               0.007129,               0.007129,               0.007129
                     60,                0.21311,                0.62286,                0.96571,                0.79558,              0.0070795,              0.0070795,              0.0070795
                     61,                  0.213,                0.62571,                0.96714,                0.79539,                0.00703,                0.00703,                0.00703
                     62,                0.21487,                0.62429,                0.96857,                0.79531,              0.0069805,              0.0069805,              0.0069805
                     63,                0.21394,                0.62429,                0.96714,                0.79517,               0.006931,               0.006931,               0.006931
                     64,                0.21229,                   0.62,                0.96571,                0.79525,              0.0068815,              0.0068815,              0.0068815
                     65,                 0.2111,                0.61429,                0.96429,                0.79525,               0.006832,               0.006832,               0.006832
                     66,                0.20939,                0.61429,                0.96571,                0.79524,              0.0067825,              0.0067825,              0.0067825
                     67,                0.21086,                0.60857,                0.96429,                0.79512,               0.006733,               0.006733,               0.006733
                     68,                0.21051,                0.61429,                0.96429,                0.79499,              0.0066835,              0.0066835,              0.0066835
                     69,                 0.2075,                0.61143,                0.96571,                0.79478,               0.006634,               0.006634,               0.006634
                     70,                0.20873,                0.61286,                0.96571,                0.79464,              0.0065845,              0.0065845,              0.0065845
                     71,                0.20536,                0.61571,                0.96571,                0.79442,               0.006535,               0.006535,               0.006535
                     72,                0.20625,                0.61143,                0.96714,                0.79415,              0.0064855,              0.0064855,              0.0064855
                     73,                0.20654,                0.61429,                0.96714,                0.79401,               0.006436,               0.006436,               0.006436
                     74,                0.20596,                0.61571,                0.96714,                 0.7939,              0.0063865,              0.0063865,              0.0063865
                     75,                 0.2038,                0.61429,                0.96714,                0.79377,               0.006337,               0.006337,               0.006337
                     76,                0.20333,                0.61286,                0.96714,                0.79345,              0.0062875,              0.0062875,              0.0062875
                     77,                0.20344,                0.61143,                0.96714,                0.79309,               0.006238,               0.006238,               0.006238
                     78,                0.20271,                0.61286,                0.96714,                0.79275,              0.0061885,              0.0061885,              0.0061885
                     79,                0.19944,                0.61571,                0.96714,                0.79228,               0.006139,               0.006139,               0.006139
                     80,                0.19903,                0.61143,                0.96714,                0.79203,              0.0060895,              0.0060895,              0.0060895
                     81,                0.19936,                0.61429,                0.96714,                0.79172,                0.00604,                0.00604,                0.00604
                     82,                0.19933,                0.61429,                0.96714,                0.79154,              0.0059905,              0.0059905,              0.0059905
                     83,                0.19856,                0.61571,                0.96571,                0.79136,               0.005941,               0.005941,               0.005941
                     84,                0.19738,                0.61429,                0.96571,                0.79111,              0.0058915,              0.0058915,              0.0058915
                     85,                0.19653,                0.61571,                0.96571,                0.79081,               0.005842,               0.005842,               0.005842
                     86,                0.19633,                0.61571,                0.96571,                 0.7905,              0.0057925,              0.0057925,              0.0057925
                     87,                0.19462,                0.61429,                0.96571,                0.79024,               0.005743,               0.005743,               0.005743
