                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.28212,                0.88759,                      1,                0.49239,             0.00023445,             0.00023445,             0.00023445
                      1,                0.10447,                0.96956,                      1,                0.38759,             0.00044906,             0.00044906,             0.00044906
                      2,                0.06107,                0.97892,                      1,                0.37247,             0.00064011,             0.00064011,             0.00064011
                      3,                0.04839,                0.99532,                      1,                0.36677,             0.00060797,             0.00060797,             0.00060797
                      4,                0.04351,                0.99297,                      1,                0.36549,             0.00060797,             0.00060797,             0.00060797
                      5,                0.03817,                0.99063,                      1,                0.36405,             0.00057263,             0.00057263,             0.00057263
                      6,                0.03302,                0.98595,                      1,                0.36433,             0.00053728,             0.00053728,             0.00053728
                      7,                0.03748,                0.99063,                      1,                0.36289,             0.00050194,             0.00050194,             0.00050194
                      8,                0.02304,                0.99297,                      1,                 0.3606,              0.0004666,              0.0004666,              0.0004666
                      9,                0.02227,                0.99063,                      1,                0.36127,             0.00043126,             0.00043126,             0.00043126
                     10,                0.02031,                0.99297,                      1,                 0.3599,             0.00039591,             0.00039591,             0.00039591
                     11,                0.01618,                0.99532,                      1,                0.35985,             0.00036057,             0.00036057,             0.00036057
                     12,                0.01476,                0.99297,                      1,                0.35932,             0.00032523,             0.00032523,             0.00032523
                     13,                0.01607,                0.99297,                      1,                0.35863,             0.00028988,             0.00028988,             0.00028988
                     14,                0.01891,                0.99063,                      1,                0.35884,             0.00025454,             0.00025454,             0.00025454
                     15,                0.01432,                0.99297,                      1,                0.35882,              0.0002192,              0.0002192,              0.0002192
                     16,                0.01178,                0.99532,                      1,                0.35774,             0.00018385,             0.00018385,             0.00018385
                     17,                0.01153,                0.99297,                      1,                0.35743,             0.00014851,             0.00014851,             0.00014851
                     18,                0.01108,                0.99297,                      1,                 0.3574,             0.00011317,             0.00011317,             0.00011317
                     19,                0.00775,                0.99532,                      1,                0.35739,             7.7826e-05,             7.7826e-05,             7.7826e-05
